vendor,month,avg_discount
TandT,2,0.61
NoFrills,2,0.697758620689655
Loblaws,2,0.787368421052631
Voila,4,0.844349315068493
Voila,3,0.8628125
NoFrills,5,0.900107671601615
NoFrills,3,0.91608024691358
NoFrills,11,0.973515907236919
Voila,2,0.982753623188406
NoFrills,8,0.991219724859523
NoFrills,10,1.03539138490042
NoFrills,4,1.04172670807453
NoFrills,7,1.04728062157221
TandT,5,1.0559793814433
NoFrills,9,1.05688432789797
Metro,2,1.15737704918033
Metro,4,1.1746549391069
TandT,4,1.19082304526749
Metro,3,1.22704039571311
Loblaws,3,1.24596330275229
Voila,7,1.24742827548789
NoFrills,6,1.25464980233643
Voila,11,1.26140582371459
TandT,3,1.29232876712329
Voila,6,1.29957029454773
Voila,8,1.30141299796209
Voila,5,1.32963730569948
Metro,5,1.35351187189398
Loblaws,5,1.35569331158238
Loblaws,6,1.36866148632858
Voila,9,1.3694160241717
Loblaws,10,1.38256470401775
Loblaws,11,1.39391298431813
Loblaws,8,1.39433719732952
Metro,10,1.39482110065001
Galleria,5,1.39522435897436
Loblaws,9,1.39562572131065
Loblaws,7,1.41746494394832
Voila,10,1.43865870196965
Loblaws,4,1.45006309148265
SaveOnFoods,11,1.54909194253347
SaveOnFoods,9,1.5769423223835
Metro,11,1.58107954867608
SaveOnFoods,10,1.63615669258021
Galleria,4,1.65222826086957
Metro,6,1.69586258950246
Walmart,10,1.76467741301356
Metro,7,1.94290174822506
Walmart,6,1.94305606637301
Walmart,11,1.99242583688651
Galleria,3,2.14693467336683
TandT,11,2.18466444922716
TandT,10,2.23354267071995
Walmart,7,2.49403670040625
Galleria,2,2.50833333333333
Walmart,4,2.52427461139896
TandT,7,2.64453518518518
TandT,6,2.73452517162471
TandT,8,2.85096445373758
TandT,9,2.86921876150504
Metro,8,3.07769196644951
Walmart,3,3.54048561151079
Galleria,7,3.77152385159011
Galleria,6,3.8073795379538
Galleria,11,4.07965618860511
Galleria,10,4.10506623845845
Galleria,8,4.12619582043344
Galleria,9,4.21688967656181
Metro,9,4.87389258670404
Walmart,5,4.98590673575129
Walmart,8,7.56932940849483
Walmart,9,15.3714156294979
